Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Kairatu";"Kairatu, Kec. Kairatu, Kabupaten Seram Bagian Barat, Maluku";"Kabupaten Seram Bagian Barat, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-3.341675";"128.352798";"https://maps.google.com/?cid=0x0:0xccc8b619c657b48e";""
"komplek housing";"komplek housing";"Kec. Tebet";"Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta";"Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta";"MALUKU";"";"Indonesia";"";"";"";"-6.2251223";"106.8549881";"https://maps.google.com/?cid=0x0:0xd575e31c807295f9";""
"komplek housing";"komplek housing";"Kec. Seram Bar.";"Kabupaten Seram Bagian Barat, Maluku";"Kabupaten Seram Bagian Barat, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-3.0650683";"128.194492";"https://maps.google.com/?cid=0x0:0xd1612bfbfbd97a94";""
"komplek housing";"Pembangunan Perumahan";"Home Tn. Yano";"Jl. Trans Seram No.11, Negeri Kawa, Kec. Seram Bar., Kabupaten Seram Bagian Barat, Maluku 97562";"Negeri Kawa, Kec. Seram Bar., Kabupaten Seram Bagian Barat";"MALUKU";"97562";"Indonesia";"";"";"";"-2.9571567";"128.1188699";"https://maps.google.com/?cid=0x0:0xe7257c71c39449a3";""
"komplek housing";"Komplek perumahan";"Keluarga setitit";"Jl. Trans Seram, Piru, Kec. Seram Bar., Kabupaten Seram Bagian Barat, Maluku 97562";"Piru, Kec. Seram Bar., Kabupaten Seram Bagian Barat";"MALUKU";"97562";"Indonesia";"";"";"";"-3.0679038";"128.1995277";"https://maps.google.com/?cid=0x0:0x7976f5484eedc4a0";""
"komplek housing";"Pembangunan Perumahan";"Respol gang";"Sampiing asrama koramil No.1502-07, Piru, Kec. Seram Bar., Kabupaten Seram Bagian Barat, Maluku 97562";"Piru, Kec. Seram Bar., Kabupaten Seram Bagian Barat";"MALUKU";"97562";"Indonesia";"";"";"";"-3.0623356";"128.1968953";"https://maps.google.com/?cid=0x0:0x14050f2637b7e331";""
"komplek housing";"Komplek perumahan";"Tempat putar";"W6J2+7RH, Dusun waimeteng darat, Piru, Kec. Seram Bar., Kabupaten Seram Bagian Barat, Maluku 97562";"Dusun waimeteng darat, Piru, Kec. Seram Bar., Kabupaten Seram Bagian Barat";"MALUKU";"97562";"Indonesia";"";"";"";"-3.0696145";"128.2025862";"https://maps.google.com/?cid=0x0:0xcc7b03b90eefd913";""
"komplek housing";"komplek housing";"Rumah Endroka nendissa";"W5PV+392, Jl. Hatutelu, Piru, Kec. Seram Bar., Kabupaten Seram Bagian Barat, Maluku 97562";"Jl. Hatutelu, Piru, Kec. Seram Bar., Kabupaten Seram Bagian Barat";"MALUKU";"97562";"Indonesia";"";"";"";"-3.0648538";"128.1934061";"https://maps.google.com/?cid=0x0:0x5a7c2f4d9057660";""
"komplek housing";"Komplek perumahan";"HOME PAK LA RE .";"W4PF+85, Etty, Kec. Seram Bar., Kabupaten Seram Bagian Barat, Maluku";"Kabupaten Seram Bagian Barat, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-3.0641923";"128.1230275";"https://maps.google.com/?cid=0x0:0x352215cfc8fdcd87";""
"komplek housing";"komplek housing";"Taniwel";"Taniwel, Kec. Taniwel, Kabupaten Seram Bagian Barat, Maluku";"Kabupaten Seram Bagian Barat, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-2.875471";"128.4478";"https://maps.google.com/?cid=0x0:0x8714c1fa90eff15e";""
"komplek housing";"komplek housing";"Kec. Tebet";"Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta";"Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta";"MALUKU";"";"Indonesia";"";"";"";"-6.2251223";"106.8549881";"https://maps.google.com/?cid=0x0:0xd575e31c807295f9";""
"komplek housing";"Komplek perumahan";"Murnaten";"48PW+P44, Mornaten, Kec. Taniwel, Kabupaten Seram Bagian Barat, Maluku";"Kabupaten Seram Bagian Barat, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-2.8637813";"128.3451998";"https://maps.google.com/?cid=0x0:0x4788770952c7b677";""
"komplek housing";"Komplek perumahan";"Melianus Touwe";"48PW+64M, Mornaten, Kec. Taniwel, Kabupaten Seram Bagian Barat, Maluku";"Kabupaten Seram Bagian Barat, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-2.8644125";"128.3452969";"https://maps.google.com/?cid=0x0:0xb5bac48d02c23d37";""
"komplek housing";"komplek housing";"Waesala";"Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku";"Kabupaten Seram Bagian Barat, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-3.1946096";"127.9572703";"https://maps.google.com/?cid=0x0:0xe960ac9124dc066f";""
"komplek housing";"Komplek perumahan";"Jamni home";"RV8C+636, Waesala, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku";"Kabupaten Seram Bagian Barat, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-3.184473";"127.8701377";"https://maps.google.com/?cid=0x0:0x4072a18d4e716dcf";""
"komplek housing";"Komplek perumahan";"AMKEY";"VW3C+GGH, Waesala, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku";"Kabupaten Seram Bagian Barat, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-3.1464858";"127.9211938";"https://maps.google.com/?cid=0x0:0xb4e5cfbdeb59a0b";""
"komplek housing";"Komplek perumahan";"Rumah Mama Masi";"PVQQ+J8P, Waesala, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku";"Kabupaten Seram Bagian Barat, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-3.2611698";"127.8884856";"https://maps.google.com/?cid=0x0:0x4cb8d55a3032b80a";""
"komplek housing";"Pembangunan Perumahan";"Auliyah's House";"JW4M+HQX, Luhu, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku";"Kabupaten Seram Bagian Barat, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-3.3936801";"127.9344948";"https://maps.google.com/?cid=0x0:0xbe149f992d9542a8";""
"komplek housing";"Komplek perumahan";"Kasturian";"VW3F+M49, Waesala, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku";"Kabupaten Seram Bagian Barat, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-3.1458403";"127.9228685";"https://maps.google.com/?cid=0x0:0xd604a41eae251ee7";""
"komplek housing";"Komplek perumahan";"Home Nesa Nona akeba";"QVVF+RRC, Waesala, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku";"Kabupaten Seram Bagian Barat, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-3.2054653";"127.8740982";"https://maps.google.com/?cid=0x0:0x2e6ab5f5cb80c91b";""
"komplek housing";"Komplek perumahan";"Afi house";"PVQQ+J8P, Waesala, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku";"Kabupaten Seram Bagian Barat, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-3.2609125";"127.8883281";"https://maps.google.com/?cid=0x0:0x7d5b90c635085b1d";""
"komplek housing";"Kios";"Valli.";"VXH3+PX2, Alang Asaude, Kec. Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku";"Kabupaten Seram Bagian Barat, Maluku";"MALUKU";"";"Indonesia";"";"";"";"-3.1207375";"127.9548906";"https://maps.google.com/?cid=0x0:0x26fb43098d1183ce";""
