Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link,ï»¿Category
komplek housing,komplek housing,Gorontalo 96585,"Kabupaten Bone Bolango, Gorontalo","Kabupaten Bone Bolango, Gorontalo",GORONTALO,,Indonesia,,,,0.3919703,1.233.261.671,https://maps.google.com/?cid=0x0:0x508565abfb2073d4,,
komplek housing,komplek housing,Gorontalo,,Gorontalo,GORONTALO,,Indonesia,,,,0.6999372,1.224.467.238,https://maps.google.com/?cid=0x0:0x1030bfbcaf71a20,,
komplek housing,komplek housing,Rumah vika,"87Q3+52P, Nyiur Hijau, Kec. Bulawa, Kabupaten Bone Bolango, Gorontalo 96585","Nyiur Hijau, Kec. Bulawa, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.337876,123.252.808,https://maps.google.com/?cid=0x0:0xbce94fa66dfd551e,,
komplek housing,Komplek perumahan,Ida's House,"96F9+J85, Tihu, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Tihu, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3740264,123.218.866,https://maps.google.com/?cid=0x0:0xa17774074470d657,,
komplek housing,Komplek perumahan,RUMAH MUCHTAR JUNUS HADIA,"96J8+25M, Dusun luwoo, Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Dusun luwoo, Bilungala, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3800881,1.232.153.117,https://maps.google.com/?cid=0x0:0xb666c1323557a27d,,
komplek housing,Pembangunan Perumahan,Rumah Keluarga Saleh,"963P+J83, Uabanga, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Uabanga, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3539851,1.232.358.343,https://maps.google.com/?cid=0x0:0x61e6051af936a379,,
komplek housing,komplek housing,'ca House,"96Q8+FM4, Bilungala Utara, Kec. Bonepantai, Kabupaten Bone Bolango, Gorontalo 96585","Bilungala Utara, Kec. Bonepantai, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3886401,1.232.167.021,https://maps.google.com/?cid=0x0:0xaa1d21da9ac8251d,,
komplek housing,Komplek perumahan,Rumah Bpk. Saprudin Hulalata,"87JJ+5VX, Bunga Hijau, Kec. Bulawa, Kabupaten Bone Bolango, Gorontalo 96585","Bunga Hijau, Kec. Bulawa, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3304818,1.232.822.195,https://maps.google.com/?cid=0x0:0x237db64fd94615d8,,
komplek housing,komplek housing,Harun gintulangi,"87FH+FM3, Desa, dunggilata, Bulawa, Bone Bolango Regency, Gorontalo 96585","Desa, dunggilata, Bulawa, Bone Bolango Regency",GORONTALO,96585.0,Indonesia,,,,0.3236258,1.232.791.775,https://maps.google.com/?cid=0x0:0x2c89f48724b00946,,
komplek housing,Komplek perumahan,Home? oma susi nuko,"8FP6+FPP, Jl. Trans Sulawesi Taludaa - Pelabuhan Gorontalo, Taludaa, Kec. Bone Raya, Kabupaten Bone Bolango, Gorontalo 96585","Jl. Trans Sulawesi Taludaa - Pelabuhan Gorontalo, Taludaa, Kec. Bone Raya, Kabupaten Bone Bolango",GORONTALO,96585.0,Indonesia,,,,0.3362046,1.234.618.273,https://maps.google.com/?cid=0x0:0x87e72809a4353ad,,
