Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
Rumah Makan,Rumah Makan Bombay,"547C+4XJ, Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23616","Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23616.0,Indonesia,,4.1628437,96.1224033,https://maps.google.com/?cid=0x0:0x93d7faa4f46b8ee0
Restoran,RM Hasan Melborn,"Jl. Syiah Kuala, Suak Ribee, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh","Kabupaten Aceh Barat, Aceh",ACEH,,Indonesia,,4.1514325,96.1171428,https://maps.google.com/?cid=0x0:0x253c01746f86876a
Padang,Rumah Makan Aceh,"44XF+M86, Jl. Manek Roo, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612","Jl. Manek Roo, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23612.0,Indonesia,,4.1491746,96.1232552,https://maps.google.com/?cid=0x0:0xf9fd50417586110e
Hidangan Laut,S S Resto,"44W8+PQ4, Jl. Iskandar Muda, Ujung Kalak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612","Jl. Iskandar Muda, Ujung Kalak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23612.0,Indonesia,,4.1467553,96.1169521,https://maps.google.com/?cid=0x0:0xbc62c85399ec0b6c
Restoran,Pizza Hut Restoran,"Jalan Manek Roo Kota, LK1, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh","Kabupaten Aceh Barat, Aceh",ACEH,,Indonesia, 1500600,4.1499235,96.1245088,https://maps.google.com/?cid=0x0:0xbee0ae3188984f79
Hidangan Laut,Rumah Makan eungkout paya,"Jl. Singgah Mata, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23681","Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia,,4.1502199,96.124579,https://maps.google.com/?cid=0x0:0xd1783f358a7636e5
Restoran,Rumah Makan Adel,"546J+388, Meulaboh, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23616","Meulaboh, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23616.0,Indonesia, 081269726171,4.1601628,96.1308355,https://maps.google.com/?cid=0x0:0xfe68aabf8ec29cd0
Padang,RM Uni Neny Masakan Padang,"Simpang BKKBN, Jl. Sisingamangaraja, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23617","Jl. Sisingamangaraja, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23617.0,Indonesia, 082361498357,4.1621007,96.1317663,https://maps.google.com/?cid=0x0:0x36776787762c8f8b
Padang,Rumah Makan IQBAL,"547J+HWG, Jl. Sisingamangaraja, Gampa, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23616","Jl. Sisingamangaraja, Gampa, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23616.0,Indonesia,,4.1639287,96.132338,https://maps.google.com/?cid=0x0:0x4b64906e46308038
Restoran,RUMAH MAKAN MAKNI,"Kuala Bubon, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia, 085372571482,4.2107816,96.0435617,https://maps.google.com/?cid=0x0:0x5060bbf9b1733efb
