Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
Kedai Kopi,Estrella Coffee And Eatery,"44W8+RM4, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612","Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23612.0,Indonesia, 08116807494,4.1470198,96.1167144,https://maps.google.com/?cid=0x0:0x4c4121ca5521e0a8
Kafe,Kaneutbu Cafe Resto,"44W8+RJR, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612","Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23612.0,Indonesia,,4.1472248,96.1164189,https://maps.google.com/?cid=0x0:0x8bef2566bb9efe06
Restoran,Fourgee Kids  Cafe,"44W8+RVX, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612","Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23612.0,Indonesia, 081265852729,4.1471258,96.1179672,https://maps.google.com/?cid=0x0:0xf5851dde89bc3bdd
Kedai Kopi,Meuligoë Agam Coffee  Resort,"Jl. Iskandar Muda, Ujung Kalak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh","Kabupaten Aceh Barat, Aceh",ACEH,,Indonesia, 0811689666,4.1465074,96.1172847,https://maps.google.com/?cid=0x0:0x64f78c07430f7600
Kafe,Moment Coffe  Eatery,"44W8+RVX, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612","Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23612.0,Indonesia, 082163481988,4.1471467,96.1174432,https://maps.google.com/?cid=0x0:0x94e8b31aa4ea337d
Kafe,Coffe dan Resto Amanda,"547F+636, Jl. Imam Bonjol, Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh","Kabupaten Aceh Barat, Aceh",ACEH,,Indonesia, 082261815100,4.1630302,96.1226557,https://maps.google.com/?cid=0x0:0xaef489487abbdbfb
Kedai Kopi,Xelo Coffee,"Jl. Singgah Mata No.I, RW.Gp, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh","Kabupaten Aceh Barat, Aceh",ACEH,,Indonesia,,4.1498481,96.125144,https://maps.google.com/?cid=0x0:0x94f03eccadcc5b7
Kafe,Orange Cafe,"5454+J2C, Jl. Padat Karya, Suak Ribee, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23615","Jl. Padat Karya, Suak Ribee, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23615.0,Indonesia, 082277704393,4.159071,96.1050048,https://maps.google.com/?cid=0x0:0xd4739df0105ec2a8
Kedai Kopi,PRAJA Coffee Eatery,"Jln. Bhakti Korpri Jl. Manek Roo, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23614","Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23614.0,Indonesia, 08116888878,4.1466303,96.1202202,https://maps.google.com/?cid=0x0:0x4e59b9fc00bc69db
Kafe,September Cafe  Resto,"Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23617","Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23617.0,Indonesia,,4.1645915,96.121257,https://maps.google.com/?cid=0x0:0xed347c7c15c2e017
