Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
Toko bahan makanan,Halal Mart Stock Center (SC) Meulaboh,"546H+C28, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23616","Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23616.0,Indonesia,,4.1610456,96.1275883,https://maps.google.com/?cid=0x0:0x99206aeb1a7a7812
Pusat Perbelanjaan,ZAHWA SuperMarket  Dept Store,"548M+629, Gampa, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Gampa, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1655405,96.1326012,https://maps.google.com/?cid=0x0:0xa76f84b5a7d72faf
Minimarket,Indomaret Suak Raya,"53PW+RVP, Suak Raya, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23618","Suak Raya, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23618.0,Indonesia,,4.1870776,96.0972109,https://maps.google.com/?cid=0x0:0xad893c8d136e7e8b
Toko Swalayan,Sejahtera Swalayan,"543J+V3W, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1547323,96.1302075,https://maps.google.com/?cid=0x0:0xff57c374b70bc1c5
Toko bahan makanan,DAMAI BARU SWALAYAN,"548M+34W, Jl. Sisingamangaraja, Gampa, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Jl. Sisingamangaraja, Gampa, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,82252581521.0,4.1654188,96.1329108,https://maps.google.com/?cid=0x0:0x7e124ab6f26ec2
Toko Swalayan,Swalayan Sultan 2,"54FP+HX8, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,85372932343.0,4.1739037,96.1374409,https://maps.google.com/?cid=0x0:0x66f982241101a80e
Toko Swalayan,Sultan Swalayan,"Jl. Nasional, Rundeng, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23681","Rundeng, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia,,4.1501536,96.132592,https://maps.google.com/?cid=0x0:0x3c7fc142b4b4ea2f
Toko Swalayan,Pante Barat Swalayan,"545G+5W8, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1579053,96.1273436,https://maps.google.com/?cid=0x0:0xe28e037a7b39675
Minimarket,ALMUNAWARAH MARKET,"545G+X3G, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,82364558686.0,4.1599277,96.1251977,https://maps.google.com/?cid=0x0:0x733083c21af2502f
Toko Peralatan dan Bahan Kue,Fresh Mart,"Jl. Manek Roo, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh","Kabupaten Aceh Barat, Aceh",ACEH,,Indonesia,85362864022.0,4.1485813,96.1227062,https://maps.google.com/?cid=0x0:0xdcb65df4584198b7
Toko umum,FAJAR JAYA MART,"44XF+RCH, Jl. Manek Roo, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612","Jl. Manek Roo, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23612.0,Indonesia,82238604845.0,4.1495695,96.1236184,https://maps.google.com/?cid=0x0:0xb7d74d66c8df60a8
Toko Swalayan,Swalayan Sabena,"54FP+9JP, Meulaboh, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Meulaboh, Lapang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1734683,96.1365937,https://maps.google.com/?cid=0x0:0xd6e3bbd2523fcd34
Minimarket,Indomaret Manek Roo,"542G+G3V, Jl. Manek Roo, Ujong Baroh, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612","Jl. Manek Roo, Ujong Baroh, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23612.0,Indonesia,,4.1520401,96.1260308,https://maps.google.com/?cid=0x0:0x7aabd98f36fcd0ca
Minimarket,INDOMARET UJUNG MANEK RO,"44W9+CQQ, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612","Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23612.0,Indonesia,,4.1460976,96.1195663,https://maps.google.com/?cid=0x0:0xdcc9c806ba3eaff9
Toko Swalayan,Mitra Ummi mart mini market,"Jl. Imam Bonjol No.29, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23611","Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23611.0,Indonesia,,4.1605023,96.1264162,https://maps.google.com/?cid=0x0:0xca491ea22a029735
Minimarket,TOKO SEMBAKO ALFARIZQI,"Jl. Imam Bonjol No.101, Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23616","Seuneubok, Kec. Johan Pahlawan, Kabupaten Aceh Barat",ACEH,23616.0,Indonesia,,4.1681081,96.1169662,https://maps.google.com/?cid=0x0:0x925bf1e26c3cb02f
Toko Swalayan,Toko Jaya Mart,"73C9+P93, Unnamed Road, Keureuseng, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Unnamed Road, Keureuseng, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia,,4.2717786,96.0684132,https://maps.google.com/?cid=0x0:0xb1f07ca1efb4b89
Toko Swalayan,Peka Swalayan,"6368+W4F, Cot Darat, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Cot Darat, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia,85277462572.0,4.2123073,96.065297,https://maps.google.com/?cid=0x0:0x8c60396f30ce3b4
Minimarket,NEXT MART,"6377+5FW, Cot Darat, Kec. Samatiga, Kabupaten Aceh Barat, Aceh 23652","Cot Darat, Kec. Samatiga, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia,8116888987.0,4.2129964,96.0636931,https://maps.google.com/?cid=0x0:0x14cdf1509c9148e4
Minimarket,Martabak Kak Yam,"8X52+FWC, Kubu, Kec. Arongan Lambalek, Kabupaten Aceh Barat, Aceh 23652","Kubu, Kec. Arongan Lambalek, Kabupaten Aceh Barat",ACEH,23652.0,Indonesia,,4.3086883,95.952252,https://maps.google.com/?cid=0x0:0x3b98db0bf5f361e6
Toserba,Helmi Market,"93M2+X8P, Tingkeum Panyang, Kec. Woyla, Kabupaten Aceh Barat, Aceh 23654","Tingkeum Panyang, Kec. Woyla, Kabupaten Aceh Barat",ACEH,23654.0,Indonesia,,4.3849985,96.0509438,https://maps.google.com/?cid=0x0:0x11c7c0fca1fd9ee3
Mi,Keuramat Swalayan,"85XM+FP4, Padang Sikabu, Kec. Kaway XVI, Kabupaten Aceh Barat, Aceh 23681","Padang Sikabu, Kec. Kaway XVI, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia,,4.3486415,96.1843398,https://maps.google.com/?cid=0x0:0x40886e69cf0bdaa0
Minimarket,IndoMaret Simpang Meureubo,"45X2+HG3, Ujong Drien, Kec. Meureubo, Kabupaten Aceh Barat, Aceh 23681","Ujong Drien, Kec. Meureubo, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia,81264320769.0,4.1488869,96.1512865,https://maps.google.com/?cid=0x0:0x13c341dda8a33775
Toko umum,Minimarket Juanda,"Manjeng, Kec. Pantai Ceuremen, Kabupaten Aceh Barat, Aceh 23681","Kec. Pantai Ceuremen, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia,,4.4053946,96.2846032,https://maps.google.com/?cid=0x0:0xc2fd1bf47d71d6e9
Toko bahan makanan,TOKO BERKAH MART,"Meutulang, Kec. Panton Reu, Kabupaten Aceh Barat, Aceh 23681","Kec. Panton Reu, Kabupaten Aceh Barat",ACEH,23681.0,Indonesia,85260555456.0,4.4026345,96.2070749,https://maps.google.com/?cid=0x0:0xd3aaa4610c188346
Pasar,A  Q MARKET,"Desa :, Tutut, Kec. Sungai MAS, Kabupaten Aceh Barat, Aceh 23685","Tutut, Kec. Sungai MAS, Kabupaten Aceh Barat",ACEH,23685.0,Indonesia,,4.5235168,96.1236471,https://maps.google.com/?cid=0x0:0xc6ee2a028a8d7c17
