ï»¿Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link,Category
,mall,Kec. Amurang,"Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,11.846.911,124.575.545,https://maps.google.com/?cid=0x0:0xc0ecc4637a3a0d02,,mall
,Toko,VOLTUS AMURANG,"5HMF+RFR, Jalan, Uwuran Satu, Amurang, South Minahasa Regency, North Sulawesi","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,4302429175.0,,,11.846.028,1.245.736.455,https://maps.google.com/?cid=0x0:0x57de7ad4287bc9d9,,mall
,Toko Perlengkapan Rumah,Toko MK Houseware Amurang,"5HJ9+P85, Buyungon, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,8114342288.0,,,11.817.873,1.245.684.345,https://maps.google.com/?cid=0x0:0x6c6d08f8d8454cd6,,mall
,Pasar Grosir Sayur,Pasar Ikan Amurang,"5HMF+RFR, Jalan Pasar No.15, Ranoyapo, Amurang, Jalan, Uwuran Satu, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,11.856.506,1.245.724.531,https://maps.google.com/?cid=0x0:0x85cba4ebc83764eb,,mall
,Toko Akuarium,Amurang Reptile,"5HPF+4WW, Jl. Sindulang, Uwuran Satu, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,81344909460.0,,,11.853.516,1.245.748.232,https://maps.google.com/?cid=0x0:0x8f77a73845a93978,,mall
,Bank,UNIVERSITAS MANDIRI AMURANG,"5HMF+XHF, Uwuran Satu, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,81342294470.0,,,11.849.393,1.245.739.265,https://maps.google.com/?cid=0x0:0xeb882a187bf0a41d,,mall
,Minimarket,Sakura Mart,"Jl. Pasar No.15, Buyungon, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,11.834.614,1.245.718.686,https://maps.google.com/?cid=0x0:0x478febc656de2698,,mall
,Pusat Perbelanjaan,Triple'A,"4HVM+QMJ, Buyungon, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,11.444.691,1.245.841.365,https://maps.google.com/?cid=0x0:0x4d58aea9e0726f3f,,mall
,Kantor Perusahaan,KAWASAN HIMALAYA AMURANG,"6JH6+HPM, Lopana, Kec. Amurang Tim., Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,8114800155.0,,,12.289.736,1.246.117.917,https://maps.google.com/?cid=0x0:0x77b97ee81ce56216,,mall
,Toko,Ikha_Shop Amurang,"5HJ8+5HQ, Jl. Trans Sulawesi, Buyungon, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","Kabupaten Minahasa Selatan, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85340166082.0,,,11.804.733,1.245.664.791,https://maps.google.com/?cid=0x0:0x2366de577c66e3c7,,mall
