Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link;;
building materials;Toko Bahan Bangunan;TB Banyuanyar;Jl. Letjen Suprapto, Banyuanyar, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57137;Banyuanyar, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57137;Indonesia;271742719;-75.437.666;1.108.066.252;https://maps.google.com/?cid=0x0:0x9f442b4c4d9433d2;;
building materials;Toko Bahan Bangunan;Rizqi Mulyo Material;FR7F+JXP, Jl. Bromo Raya, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136;Jl. Bromo Raya, Kadipiro, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57136;Indonesia;85728650091;-7.535.908;110.824.938;https://maps.google.com/?cid=0x0:0xd61b519e6dac83c0;;
building materials;Toko Bahan Bangunan;Tb Berkah Syukur;CRXG+4GJ, Jl. Tentara Genie Pelajar, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135;Jl. Tentara Genie Pelajar, Nusukan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57135;Indonesia;8985227888;-75.521.666;1.108.262.584;https://maps.google.com/?cid=0x0:0xa481f1e4ce10700c;;
building materials;Toko Bahan Bangunan;Material Bangunan P. Hadi;CRXC+FV3, Jl. Tentara Genie Pelajar, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135;Jl. Tentara Genie Pelajar, Nusukan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57135;Indonesia;;-75.513.611;1.108.221.656;https://maps.google.com/?cid=0x0:0xcc68cce729b9f2a3;;
building materials;Toko Bahan Bangunan;Toko Bangunan Polaris;Jl. A. Yani No.207, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57126;Manahan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57126;Indonesia;271717562;-75.559.973;1.107.970.926;https://maps.google.com/?cid=0x0:0x530ab2f1c0605438;;
building materials;Toko Bahan Bangunan;Toko Material FDL;Jl. Sumpah Pemuda No.29, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136;Kadipiro, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57136;Indonesia;271856922;-75.406.076;1.108.261.581;https://maps.google.com/?cid=0x0:0xc97831053e09b958;;
building materials;Toko Bahan Bangunan;Putra Mandiri;Jalan Majapahit 1, Jl. Nayu Barat No.11, RT.8/RW.14, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135;Jl. Nayu Barat No.11, RT.8/RW.14, Nusukan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57135;Indonesia;85867044244;-75.494.525;1.108.233.707;https://maps.google.com/?cid=0x0:0x8cb005fd659e3109;;
building materials;Toko Bahan Bangunan;Tk. Ada;CRQ9+G6M, Jl. R. M. Said, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132;Jl. R. M. Said, Punggawan, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57132;Indonesia;89695627922;-7.561.172;1.108.180.367;https://maps.google.com/?cid=0x0:0xacdff5b3e260ac75;;
building materials;Kantor Perusahaan;Holcim Indonesia;Jl. Imam Bonjol No.23, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131;Keprabon, Kec. Banjarsari, Kota Surakarta;JAWA TENGAH;57131;Indonesia;271890462;-75.697.886;1.108.258.636;https://maps.google.com/?cid=0x0:0x2d2ee97e92b142e6;;
building materials;building materials;Kec. Banjarsari;Kota Surakarta, Jawa Tengah;Kota Surakarta, Jawa Tengah;JAWA TENGAH;;Indonesia;;-75.406.889;1.108.205.514;https://maps.google.com/?cid=0x0:0x4027a76e3530340;;
