Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Gorontalo 96214";"Kabupaten Gorontalo, Gorontalo";"Kabupaten Gorontalo, Gorontalo";"GORONTALO";"";"Indonesia";"";"";"";"0.779426";"122.5598994";"https://maps.google.com/?cid=0x0:0x3c5feea9df1208a4";""
"komplek housing";"Komplek perumahan";"Perumahan Asparaga";"Perumahan Asparaga No.Blok C, Dutulanaa, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96214";"Dutulanaa, Kec. Limboto, Kabupaten Gorontalo";"GORONTALO";"96214";"Indonesia";"";"";"";"0.6244512";"122.9916507";"https://maps.google.com/?cid=0x0:0x2d6444ec33665b0a";""
"komplek housing";"komplek housing";"Maryam rauf";"PHV3+FMG, Bina Jaya, Kec. Tolangohula, Kabupaten Gorontalo, Gorontalo 96214";"Bina Jaya, Kec. Tolangohula, Kabupaten Gorontalo";"GORONTALO";"96214";"Indonesia";"";"";"";"0.7424042";"122.5543471";"https://maps.google.com/?cid=0x0:0xdc51f55c2b8ba9a0";""
"komplek housing";"komplek housing";"Family house";"PFWR+VR7, Bululi, Kec. Asparaga, Kabupaten Gorontalo, Gorontalo 96262";"Bululi, Kec. Asparaga, Kabupaten Gorontalo";"GORONTALO";"96262";"Indonesia";"";"";"";"0.7471727";"122.4920604";"https://maps.google.com/?cid=0x0:0x7dc720e63b488336";""
"komplek housing";"Komplek perumahan";"Rumah Anirahayu";"QFFQ+QMP, Bululi, Kec. Asparaga, Kabupaten Gorontalo, Gorontalo 96214";"Bululi, Kec. Asparaga, Kabupaten Gorontalo";"GORONTALO";"96214";"Indonesia";"";"";"";"0.7742678";"122.4894758";"https://maps.google.com/?cid=0x0:0xb8156090c5cc3954";""
"komplek housing";"Komplek perumahan";"Husin Umar";"QF7R+56, Bululi, Kec. Asparaga, Kabupaten Gorontalo, Gorontalo";"Kabupaten Gorontalo, Gorontalo";"GORONTALO";"";"Indonesia";"";"";"";"0.7637803";"122.4905356";"https://maps.google.com/?cid=0x0:0xdeadbbe486e39b54";""
"komplek housing";"Komplek perumahan";"RumahPijat KalimboKoe";"RF57+9FP, Karya Indah, Kec. Asparaga, Kabupaten Gorontalo, Gorontalo 96214";"Karya Indah, Kec. Asparaga, Kabupaten Gorontalo";"GORONTALO";"96214";"Indonesia";"";"";"";"0.8084643";"122.463708";"https://maps.google.com/?cid=0x0:0xeec6b818ee18abff";""
"komplek housing";"Komplek perumahan";"Ayla's house";"PFWR+PXG, Bululi, Kec. Asparaga, Kabupaten Gorontalo, Gorontalo";"Kabupaten Gorontalo, Gorontalo";"GORONTALO";"";"Indonesia";"";"";"";"0.7468125";"122.4924531";"https://maps.google.com/?cid=0x0:0x14d01a02fc70d04c";""
"komplek housing";"Komplek perumahan";"Aghus usman";"QFCP+XF8, Bululi, Kec. Asparaga, Kabupaten Gorontalo, Gorontalo 96214";"Bululi, Kec. Asparaga, Kabupaten Gorontalo";"GORONTALO";"96214";"Indonesia";"";"";"";"0.7725959";"122.4863047";"https://maps.google.com/?cid=0x0:0xfe52ea9383628101";""
"komplek housing";"Komplek perumahan";"Rumah tety";"QFCQ+C2Q, Jl. Trans Sulawesi, Bululi, Kec. Asparaga, Kabupaten Gorontalo, Gorontalo 96214";"Jl. Trans Sulawesi, Bululi, Kec. Asparaga, Kabupaten Gorontalo";"GORONTALO";"96214";"Indonesia";"";"";"";"0.771063";"122.487831";"https://maps.google.com/?cid=0x0:0x809b7ae71f0abf6d";""
"komplek housing";"Komplek perumahan";"Perumahan Pondok Indah Asparaga Blok H";"H28W+QGR, Jl. Durian, Tomulabutao Sel., Kec. Dungingi, Kota Gorontalo, Gorontalo 96138";"Jl. Durian, Tomulabutao Sel., Kec. Dungingi, Kota Gorontalo";"GORONTALO";"96138";"Indonesia";"";"";"";"0.5669905";"123.0462688";"https://maps.google.com/?cid=0x0:0x43d03a0e9c90ad04";""
"komplek housing";"Gedung Apartemen";"Rumah Nhefen";"QFCQ+773, Bululi, Kec. Asparaga, Kabupaten Gorontalo, Gorontalo";"Kabupaten Gorontalo, Gorontalo";"GORONTALO";"";"Indonesia";"";"";"";"0.7706375";"122.4881719";"https://maps.google.com/?cid=0x0:0xe7261c8777084df7";""
"komplek housing";"Komplek perumahan";"Ismikpoli home";"QFCP+JXJ, Unnamed Road, Bululi, Kec. Asparaga, Kabupaten Gorontalo, Gorontalo 96214";"Unnamed Road, Bululi, Kec. Asparaga, Kabupaten Gorontalo";"GORONTALO";"96214";"Indonesia";"";"";"";"0.7715875";"122.4873856";"https://maps.google.com/?cid=0x0:0x25d6bc58de80c15f";""
