"Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link",Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
,hotel,hotel,Sulawesi Utara 95371,"Airmadidi Atas, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,14.172.327,1.249.876.821,https://maps.google.com/?cid=0x0:0x80e87fd6189d70fc,
,hotel,hotel,Guest House Bunga Matahari,"CXMF+GCR, Sarongsong II, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,081340801189,,,14.338.726,1.249.735.202,https://maps.google.com/?cid=0x0:0x16b7e57071780c2f,
,hotel,hotel,RedDoorz @ Wale Christian Minahasa Utara,"92QF+XJ4, Kaima, Kec. Kauditan, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,13.881.621,1.250.248.578,https://maps.google.com/?cid=0x0:0xb3323ff64e677cda,
,hotel,hotel,Airy Mapanget AA Maramis Manado,"GWCC+35W, Jl. A.A. Maramis, Paniki Dua, Kec. Mapanget, Kota Manado, Sulawesi Utara 95259","Jl. A.A. Maramis, Paniki Dua, Kec. Mapanget, Kota Manado",SULAWESI UTARA,95259.0,Indonesia,08041112479,,,15.202.269,1.249.204.671,https://maps.google.com/?cid=0x0:0x191935c77569bddc,
,hotel,hotel,Sulawesi Utara 95373,"Paniki Atas, Kec. Talawaan, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,14.974.733,1.249.238.636,https://maps.google.com/?cid=0x0:0x3a1e3c0a99b6788f,
,hotel,hotel,The Sentra Manado,"Jl. Ir. Soekarno, Maumbi, Kec. Kalawat, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,04317290488,,,14.880.891,1.249.156.242,https://maps.google.com/?cid=0x0:0xab699cffbafa14b0,
,hotel,hotel,VICTORIA INN MANADO,"GW33+XCR, Jl. A.A. Maramis, Paniki Bawah, Kec. Mapanget, Kota Manado, Sulawesi Utara 95256","Jl. A.A. Maramis, Paniki Bawah, Kec. Mapanget, Kota Manado",SULAWESI UTARA,95256.0,Indonesia,08114321500,,,15.060.403,1.249.034.907,https://maps.google.com/?cid=0x0:0x1c9408dab9cdc5ba,
,hotel,hotel,Sutan Raja Hotel Manado,"Jl. Raya Manado - Bitung, Watutumou, Kec. Kalawat, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,0431818888,,,14.681.564,1.249.196.479,https://maps.google.com/?cid=0x0:0xdaaafba3a19c7589,
,hotel,hotel,,,,SULAWESI UTARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xdaaafba3a19c7589%7C/g/1vj5xrg0%7Cen-ID,
,hotel,hotel,NDC Spa  Resort,"GRHQ+RGP, Unnamed Road, Molas, Bunaken, Manado City, North Sulawesi","Kota Manado, Sulawesi Utara",SULAWESI UTARA,,Indonesia,082187493881,,,15.295.892,1.248.388.232,https://maps.google.com/?cid=0x0:0x1815de13c87cd1a0,
,hotel,hotel,Uma Villa Manado,"Jl. Ring Road Jaga IX No.KM1, Maumbi, Minahasa Utara, Kota Manado, Sulawesi Utara 95129","Maumbi, Minahasa Utara, Kota Manado",SULAWESI UTARA,95129.0,Indonesia,,,,14.789.318,1.248.897.831,https://maps.google.com/?cid=0x0:0xd2c28a4f5f3a2266,
,hotel,hotel,Hotel Mel's Inn,"Jl. A.A. Maramis, Paniki Dua, Kec. Mapanget, Kota Manado, Sulawesi Utara 95259","Paniki Dua, Kec. Mapanget, Kota Manado",SULAWESI UTARA,95259.0,Indonesia,04317242218,,,15.202.679,1.249.205.588,https://maps.google.com/?cid=0x0:0xe8413ded6b790f80,
,hotel,hotel,Novotel Manado Golf Resort  Convention Center,"Jl. A.A. Maramis, Kayuwatu, Kairagi Dua, Kec. Mapanget, Kota Manado, Sulawesi Utara 95254","Kayuwatu, Kairagi Dua, Kec. Mapanget, Kota Manado",SULAWESI UTARA,95254.0,Indonesia,0431818889,,,15.023.543,1.248.955.201,https://maps.google.com/?cid=0x0:0x6b24e5a9f98eaec0,
,hotel,hotel,,,,SULAWESI UTARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x6b24e5a9f98eaec0%7C/g/1tfk1z8h%7Cen-ID,
,hotel,hotel,SPOT ON 91995 Cvictory Inn,"Hermina Hospital, Paniki Atas, Kec. Talawaan, Kabupaten Minahasa Utara, Sulawesi Utara 95378","Paniki Atas, Kec. Talawaan, Kabupaten Minahasa Utara",SULAWESI UTARA,95378.0,Indonesia,02129707601,,,14.971.042,124.922.008,https://maps.google.com/?cid=0x0:0x2b166f4e6f1a3028,
,hotel,hotel,Hotel Sedona Manado,"FQ34+532, Tateli Satu, Kec. Mandolang, Kabupaten Minahasa, Sulawesi Utara","Kabupaten Minahasa, Sulawesi Utara",SULAWESI UTARA,,Indonesia,0431825888,,,14.528.855,1.247.551.556,https://maps.google.com/?cid=0x0:0xaf1c190004937b8a,
,hotel,hotel,Airy Mapanget AA Maramis Manado,"GWCC+35W, Jl. A.A. Maramis, Paniki Dua, Kec. Mapanget, Kota Manado, Sulawesi Utara 95259","Jl. A.A. Maramis, Paniki Dua, Kec. Mapanget, Kota Manado",SULAWESI UTARA,95259.0,Indonesia,08041112479,,,15.202.269,1.249.204.671,https://maps.google.com/?cid=0x0:0x191935c77569bddc,
,hotel,hotel,RedDoorz Plus near Transmart Kairagi Dua Manado,"Perumahan Politeknik Indah Kairagi Dua - Mapanget, Kec. Malalayang, Kota Manado, Sulawesi Utara","Kota Manado, Sulawesi Utara",SULAWESI UTARA,,Indonesia,0895417300072,,,1.508.198,1.248.931.291,https://maps.google.com/?cid=0x0:0xfaf47f9ee1218458,
,hotel,hotel,RedDoorz near Sam Ratulangi Airport,"Jl. A.A. Maramis No.305, Lapangan, Kec. Mapanget, Kota Manado, Sulawesi Utara 95258","Lapangan, Kec. Mapanget, Kota Manado",SULAWESI UTARA,95258.0,Indonesia,0895417300072,,,15.332.539,1.249.213.639,https://maps.google.com/?cid=0x0:0xa6aaa1dd47a3cb1e,
,hotel,hotel,,,,SULAWESI UTARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xa6aaa1dd47a3cb1e%7C/g/11gmyvp18h%7Cen-ID,
,hotel,hotel,PAS Residence,"Jl. A.A. Maramis No.305, Lapangan, Kec. Mapanget, Kota Manado, Sulawesi Utara","Kota Manado, Sulawesi Utara",SULAWESI UTARA,,Indonesia,0895417300072,,,15.329.259,1.249.208.593,https://maps.google.com/?cid=0x0:0x257d674a74a2d48d,
,hotel,hotel,RedDoorz @ Ring Road II Area Manado,"Jl. Ring Road Manado II, Paniki Bawah, Kec. Mapanget, Kota Manado, Sulawesi Utara","Kota Manado, Sulawesi Utara",SULAWESI UTARA,,Indonesia,0895417300072,,,15.191.844,1.248.953.738,https://maps.google.com/?cid=0x0:0x51cf08e740e936ef,
