"Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link",Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
,building materials,building materials,Sulawesi Utara 95371,"Airmadidi Atas, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,14.172.327,1.249.876.821,https://maps.google.com/?cid=0x0:0x80e87fd6189d70fc,
,building materials,Toko Bahan Bangunan,UD. Klabat Indah,"Jl. Ir. Soekarno, Jalur Dua, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara 95371","Jalur Dua, Kec. Airmadidi, Kabupaten Minahasa Utara",SULAWESI UTARA,95371.0,Indonesia,,,,14.288.105,1.249.870.974,https://maps.google.com/?cid=0x0:0x4e1cd39a663a68b5,
,building materials,Toko Bahan Bangunan,Depo Bangunan Baru,"Airmadidi Atas, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,08114667779,,,14.209.652,1.249.858.983,https://maps.google.com/?cid=0x0:0x39d09d0fdcf3ce9a,
,building materials,Toko Bahan Bangunan,"Cipta Sarana, Sukur, Airmadidi","Jl. Raya Manado - Bitung, Sukur, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,14.476.341,1.249.596.084,https://maps.google.com/?cid=0x0:0x666bbfc04e00e06c,
,building materials,Toko Bahan Bangunan,UD. Ria Jaya,"Sukur, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,0811409476,,,14.503.394,1.249.601.121,https://maps.google.com/?cid=0x0:0x7edd56340f1e2460,
,building materials,Toko Bahan Bangunan,Toko Bangunan Alden,"Jl. SBY No.70, Sukur, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,082366436061,,,14.611.442,1.249.666.508,https://maps.google.com/?cid=0x0:0xc92a017c991e4486,
,building materials,Pemasok bahan paving blok,Paving block UD SEJAHTERA BERSAMA NUSANTARA,"Airmadidi Atas, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,085326400562,,,1.424.603,1.249.908.238,https://maps.google.com/?cid=0x0:0x589f563171dd6b44,
,building materials,Toko Bahan Bangunan,Toko Bangunan Pelangi Jaya,"CXCP+8C6, Jl. Arnold Mononutu, Airmadidi Atas, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,0431892154,,,14.207.968,1.249.860.006,https://maps.google.com/?cid=0x0:0xfaa036c485707fb1,
,building materials,Toko,Toko GRAND HARDWARE,"CXJH+22P, Sarongsong I, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,14.300.932,1.249.775.741,https://maps.google.com/?cid=0x0:0xd5bea6e4e94329b1,
,building materials,Toko Bahan Bangunan,Toko bangunan Rejeki Jaya,"CXX5+7G4, Jl. Sukur - Likupang, Sukur, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,0811431341,,,14.481.495,1.249.588.422,https://maps.google.com/?cid=0x0:0x30a202e84321b74d,
,building materials,Toko Bahan Bangunan,Tk. Bahan bangunan VIFANLIA,"Jl. Raya Manado - Bitung, Sukur, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,085341918984,,,14.491.178,1.249.581.447,https://maps.google.com/?cid=0x0:0xc22266a1dd8ff5c0,
,building materials,Toko Perlengkapan Rumah,MR.DIY,"Jl. Raya Manado - Bitung No.871, Airmadidi Atas, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,1.419.665,1.249.877.989,https://maps.google.com/?cid=0x0:0x6b10aff0b5f80bb8,
,building materials,Toko Perlengkapan Rumah,Toko Sumber Meubel Elektronik Bangunan,"Jl. Raya Manado - Bitung, Sarongsong I, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,085146472422,,,14.279.751,1.249.791.172,https://maps.google.com/?cid=0x0:0xfe4620b5cfc9b497,
,building materials,Toko Bahan Bangunan,TOKO BANGUNAN MS,"Dekat matungkas , kec dimembe, Jl. Raya Likupang, Kec. Airmadidi, Sulawesi Utara 95371","kec dimembe, Jl. Raya Likupang, Kec. Airmadidi",SULAWESI UTARA,95371.0,Indonesia,085396672112,,,14.667.282,124.966.547,https://maps.google.com/?cid=0x0:0x56f7823a657be343,
,building materials,Toko Bahan Bangunan,Toko Bahan Bangunan Adel Jaya,"Jl. Arnold Mononutu, Airmadidi Atas, Kec. Airmadidi, Kota Manado, Sulawesi Utara 95371","Airmadidi Atas, Kec. Airmadidi, Kota Manado",SULAWESI UTARA,95371.0,Indonesia,081356527782,,,14.263.083,124.980.685,https://maps.google.com/?cid=0x0:0x99117017828bdce0,
,building materials,building materials,Sulawesi Utara 95373,"Paniki Atas, Kec. Talawaan, Kabupaten Minahasa Utara, Sulawesi Utara","Kabupaten Minahasa Utara, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,14.974.733,1.249.238.636,https://maps.google.com/?cid=0x0:0x3a1e3c0a99b6788f,
