Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link;;
building materials;building materials;Nabire;"Distrik Nabire, Kabupaten Nabire, Papua";"Kabupaten Nabire, Papua";PAPUA;;Indonesia;;;;-33.722.254;1.355.016.253;https://maps.google.com/?cid=0x0:0x4d0a137f319b277d;;;
building materials;Pemasok Bahan Bangunan;Toko Bangunan Duta Tunggal Anugerah (DTA);"JGQ2+XR7, Jl. Dr. Sam Ratulangi, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Jl. Dr. Sam Ratulangi, Oyehe, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;098425750;;;-33.600.946;1.355.020.576;https://maps.google.com/?cid=0x0:0x7c6c633951692b44;;;
building materials;Toko Bahan Bangunan;TOKO BANGUNAN NABIRE SANTOSO MITRA SEJAHTERA;"Jl. Dr. Sam Ratulangi No.2, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98817";"Oyehe, Distrik Nabire, Kabupaten Nabire";PAPUA;98817;Indonesia;085787541264;;;-33.600.958;1.355.020.964;https://maps.google.com/?cid=0x0:0xb6a38fe67511aebd;;;
building materials;Pemasok Bahan Bangunan;Toko Sinar Surya (Jotun);"Jl. Dr. Sam Ratulangi, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98817";"Oyehe, Distrik Nabire, Kabupaten Nabire";PAPUA;98817;Indonesia;081331364111;;;-33.556.552;1.355.091.443;https://maps.google.com/?cid=0x0:0x3a82fb69fb9b82d0;;;
building materials;Toko Bahan Bangunan;Toko Bangunan Difian;"Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98813";"Distrik Nabire, Kabupaten Nabire";PAPUA;98813;Indonesia;0812400013420;;;-34.008.216;1.354.801.451;https://maps.google.com/?cid=0x0:0x9973da42063f154;;;
building materials;Toko Bahan Bangunan;Bahan Bangunan  Sparepart DIPAJAYA;"BUMIWONOREJO, Jl. Perintis, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98813";"Jl. Perintis, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire";PAPUA;98813;Indonesia;085242353535;;;-33.901.568;1.354.882.999;https://maps.google.com/?cid=0x0:0x2e1f4e55f23f8c6f;;;
building materials;Toko Bahan Bangunan;Toko Nasional;"JGR3+449, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Oyehe, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;082185621364;;;-33.597.207;1.355.028.525;https://maps.google.com/?cid=0x0:0x410898dda7560144;;;
building materials;Toko Bahan Bangunan;TB Mega;"JG93+6M2, Jl. Patriot, Girimulyo, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Jl. Patriot, Girimulyo, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;082139048516;;;-33.819.847;1.355.041.355;https://maps.google.com/?cid=0x0:0xbf3b6db35b0e5db2;;;
building materials;Toko;DUNIA BANGUNAN;"Jl. Jend. Sudirman, Karang Mulia, Distrik Nabire, Kabupaten Nabire, Papua 98815";"Karang Mulia, Distrik Nabire, Kabupaten Nabire";PAPUA;98815;Indonesia;082239591098;;;-33.732.044;1.355.020.229;https://maps.google.com/?cid=0x0:0x83a82b5ace872855;;;
building materials;Toko Bahan Bangunan;PRIMA BANGUNAN;"JF2M+97R, Jl. Poros Wadio, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire, Papua 98813";"Jl. Poros Wadio, Bumi Wonorejo, Distrik Nabire, Kabupaten Nabire";PAPUA;98813;Indonesia;;;;-33.988.755;1.354.835.483;https://maps.google.com/?cid=0x0:0x512933b591bd6d2a;;;
building materials;Toko Bahan Bangunan;CV. PUSAKA KARYA MANDIRI;"JGC5+5JP, Jl. A Gobay, Karang Tumaritis, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Jl. A Gobay, Karang Tumaritis, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;098425692;;;-33.795.265;1.355.090.891;https://maps.google.com/?cid=0x0:0x6ab9672a11626998;;;
building materials;Toko Bahan Bangunan;PT. GAMPANG TERANG;"MG5J+F7J, Siriwini, Distrik Nabire, Kabupaten Nabire, Papua 98816";"Siriwini, Distrik Nabire, Kabupaten Nabire";PAPUA;98816;Indonesia;081389946443;;;-33.412.996;1.355.306.508;https://maps.google.com/?cid=0x0:0xda3cfcd11ee49f08;;;
building materials;Toko Bahan Bangunan;Toko Nacha;"Kali Harapan, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;081330006938;;;-33.789.206;1.355.110.607;https://maps.google.com/?cid=0x0:0x4a4089ecfea6f623;;;
building materials;Jasa penyewaan perancah;NABIRE SCAFFOLDING23;"Jl. Dr. Sam Ratulangi, Nabarua, Distrik Nabire, Kabupaten Nabire, Papua 98818";"Nabarua, Distrik Nabire, Kabupaten Nabire";PAPUA;98818;Indonesia;081317346417;;;-33.527.626;135.513.278;https://maps.google.com/?cid=0x0:0x6f10ddc276eddb0d;;;
building materials;Toko Bahan Bangunan;Toko Sumber Djaya Teknik Nabire;"Jl. Poros Samabusa, Oyehe, Distrik Nabire, Kabupaten Nabire, Papua 98816";"Oyehe, Distrik Nabire, Kabupaten Nabire";PAPUA;98816;Indonesia;081313888758;;;-3.355.789;1.355.064.778;https://maps.google.com/?cid=0x0:0x40702da7503694aa;;;
building materials;Pemasok Bahan Bangunan;Toko Bangunan Dwijaya Nabire;"depan pos pasar, Karang Tumaritis, Distrik Nabire, Kabupaten Nabire, Papua 98811";"Karang Tumaritis, Distrik Nabire, Kabupaten Nabire";PAPUA;98811;Indonesia;082323624737;;;-33.818.274;1.355.050.689;https://maps.google.com/?cid=0x0:0x4280ea46f03634b9;;;
