Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
komplek housing,komplek housing,Lawata Batu Putih Kolaka Utara,"W334+7G4, Unnamed Road, Lawata, Kec. Pakue Utara, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955","Unnamed Road, Lawata, Kec. Pakue Utara, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93955.0,Indonesia,,,,-3.096859,121.056337,https://maps.google.com/?cid=0x0:0x7118b18e25f9730b,
komplek housing,Perhimpunan Pengembang Perumahan,Perumahan Sdn 001 Batu Putih,"9CGP+4C3, Batu Putih, Kec. Batu Putih, Kabupaten Berau, Kalimantan Timur 77373","Batu Putih, Kec. Batu Putih, Kabupaten Berau",SULAWESI TENGGARA,77373.0,Indonesia,,,,1.3752626,118.4360379,https://maps.google.com/?cid=0x0:0x76344c25fc08add9,
komplek housing,komplek housing,Komplek Housing,"Blok Bojong Nangka I, Jl. Ring Rudal Blok Bojong Nangka I No.68, RT.001/RW.007, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414","Jl. Ring Rudal Blok Bojong Nangka I No.68, RT.001/RW.007, Jatirahayu, Kec. Pd. Melati, Kota Bks",SULAWESI TENGGARA,17414.0,Indonesia,,,,-6.293724,106.9165114,https://maps.google.com/?cid=0x0:0x9c50464976dee674,
komplek housing,komplek housing,Kec. Batu Putih,"Kabupaten Kolaka Utara, Sulawesi Tenggara","Kabupaten Kolaka Utara, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-3.074246,121.082312,https://maps.google.com/?cid=0x0:0x212cea78674168b6,
komplek housing,komplek housing,Batu Putih,"Kec. Mallawa, Kabupaten Maros, Sulawesi Selatan","Kabupaten Maros, Sulawesi Selatan",SULAWESI TENGGARA,,Indonesia,,,,-4.7916713,119.9335779,https://maps.google.com/?cid=0x0:0x284bd9be2c16c151,
komplek housing,Komplek perumahan,Sunrise River Muktijaya,"H2WP+3JH, Jl. Muktijaya - Cigelam, Muktijaya, Kec. Setu, Kabupaten Bekasi, Jawa Barat 17320","Jl. Muktijaya - Cigelam, Muktijaya, Kec. Setu, Kabupaten Bekasi",SULAWESI TENGGARA,17320.0,Indonesia,81290277288.0,,,-6.4048186,107.0366116,https://maps.google.com/?cid=0x0:0x4531fe10b04fec4c,
komplek housing,Komplek perumahan,Puri Gading Village,"Jl. Desa Jatiluhur No.58, RT.001/RW.006, Jatiluhur, Kec. Jatiasih, Kota Bks, Jawa Barat 17425","RT.001/RW.006, Jatiluhur, Kec. Jatiasih, Kota Bks",SULAWESI TENGGARA,17425.0,Indonesia,,,,-6.3211186,106.9441376,https://maps.google.com/?cid=0x0:0x66d58b152a910595,
komplek housing,komplek housing,Komplek Housing,"Blok Bojong Nangka I, Jl. Ring Rudal Blok Bojong Nangka I No.68, RT.001/RW.007, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414","Jl. Ring Rudal Blok Bojong Nangka I No.68, RT.001/RW.007, Jatirahayu, Kec. Pd. Melati, Kota Bks",SULAWESI TENGGARA,17414.0,Indonesia,,,,-6.293724,106.9165114,https://maps.google.com/?cid=0x0:0x9c50464976dee674,
komplek housing,komplek housing,Kec. Batu Putih,"Kabupaten Kolaka Utara, Sulawesi Tenggara","Kabupaten Kolaka Utara, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-3.074246,121.082312,https://maps.google.com/?cid=0x0:0x212cea78674168b6,
komplek housing,Komplek perumahan,Artha Kencana,"PW4P+PF7, Jl. Kav. Artha Kencana, RT.9/RW.2, Cilangkap, Kec. Pd. Gede, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta","Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",SULAWESI TENGGARA,,Indonesia,,,,-6.2932195,106.9361767,https://maps.google.com/?cid=0x0:0x7c758e5a0c03748e,
